profile;side;setting_time
240020;0021;50
240020;0022;60
240030;0021;50
240030;0022;50
240040;0021;60
240040;0022;50
241020;0021;70
241020;0022;110
241040;0021;120
241040;0022;60
242020;0021;70
242020;0022;60
242310;0021;80
242310;0022;0
242320;0021;100
242320;0022;100
246030;0021;90
246030;0022;40
341030;0021;70
341030;0022;55
341040;0021;70
341040;0022;55
406005;0021;100
406005;0022;110
406010;0021;120
406081;0022;80
406115;0021;80
406115;0022;90
406157;0022;80
406210;0022;100
406215;0020;90
406215;0021;60
406225;0021;60
406225;0022;0
406255;0022;100
406266;0022;180
406271;0022;160
406272;0021;60
406272;0022;0
406281;0022;50
406286;0022;50
406295;0022;90
406307;0022;90
406310;0022;90
406312;0022;100
406315;0022;100
406316;0022;120
406319;0021;90
406319;0022;100
406320;0022;120
406321;0022;150
406323;0022;90
406325;0022;150
406329;0022;150
406340;0022;80
406660;0022;120
406670;0021;110
406670;0022;0
413001;0022;80
413003;0022;40
413004;0022;0
413005;0022;40
413007;0022;40
413008;0022;0
413009;0022;90
413011;0022;40
413013;0022;40
413015;0022;40
413017;0022;40
413018;0022;0
413103;0022;40
413105;0022;40
413107;0022;40
413109;0022;40
413111;0022;40
413113;0022;40
413115;0022;40
413201;0022;40
413205;0022;40
413207;0022;40
413209;0022;40
413211;0022;80
413301;0022;40
413303;0022;40
413305;0022;40
413307;0022;40
413309;0022;60
413311;0022;40
413313;0022;40
413315;0022;40
413403;0022;90
413411;0022;90
413717;0022;40
413725;0022;40
413728;0022;80
413729;0022;40
413730;0022;40
413735;0022;90
413807;0022;60
413809;0022;40
413813;0022;40
413817;0022;40
413821;0022;40
413825;0022;40
413829;0022;40
413833;0022;40
413837;0022;40
413843;0022;90
416026;0022;90
416065;0022;90
416067;0022;120
416068;0021;70
416068;0022;0
416069;0022;80
416070;0022;90
416086;0022;90
416096;0022;120
416112;0021;90
416112;0022;90
416119;0022;90
416139;0021;80
416139;0022;80
416146;0022;50
416148;0022;80
416157;0021;40
416157;0022;0
416160;0021;60
416160;0022;0
416168;0021;60
416168;0022;0
416177;0021;80
416177;0022;0
416180;0022;80
416182;0022;80
416210;0021;0
416210;0022;100
416240;0021;120
416240;0022;100
416251;0021;100
416251;0022;80
416264;0022;90
416269;0021;150
416269;0022;120
416272;0021;100
416272;0022;80
416273;0021;60
416273;0022;0
416274;0021;90
416274;0022;0
416275;0021;90
416275;0022;60
416301;0022;80
416302;0022;50
416311;0022;80
416327;0022;50
416330;0022;90
416331;0022;200
416337;0022;50
416338;0022;150
416357;0022;100
416382;0021;40
416382;0022;0
426100;0021;80
426100;0022;90
426150;0021;40
426150;0022;0
426151;0021;60
426151;0022;0
426152;0021;60
426152;0022;0
426200;0021;60
426200;0022;0
443310;0022;60
466005;0021;60
466009;0021;60
466009;0022;0
466023;0021;60
466023;0022;0
466400;0022;90
476273;0021;60
476273;0022;0
550800;0022;80
550801;0022;90
553424;0022;100
600121;0021;140
600121;0022;90
600127;0021;140
600127;0022;90
600128;0021;150
600128;0022;70
600138;0021;170
600138;0022;150
600227;0021;140
600227;0022;150
601128;0021;80
601128;0022;100
601138;0021;110
601138;0022;60
602010;0021;80
602010;0022;60
606180;0022;80
606305;0022;90
650020;0021;120
650020;0022;100
650030;0021;70
650030;0022;170
650040;0021;140
650040;0022;150
650040;0023;90
650050;0021;140
650050;0022;150
650050;0023;120
651010;0020;20
651010;0021;0
651030;0020;70
651030;0021;0
651050;0021;110
651050;0022;110
652010;0021;80
652010;0022;60
656300;0022;90
656305;0022;60
656310;0022;80
656330;0022;120
660000;0021;80
660000;0022;120
661000;0021;70
661000;0022;70
666000;0021;90
666000;0022;130
666001;0020;120
666001;0021;30
666001;0022;40
666002;0022;90
666003;0022;120
706290;0021;120
706290;0022;40
716020;0022;100
716317;0022;140
720003;0020;0
720003;0021;0
720003;0022;0
720004;0020;70
720004;0021;0
720004;0022;0
720022;0021;70
720022;0022;70
720023;0021;80
720023;0022;60
720024;0021;90
720024;0022;70
721001;0020;70
721001;0021;0
721001;0022;0
721005;0021;110
721005;0022;60
721008;0021;60
721008;0022;60
721009;0021;70
721009;0022;55
721014;0021;110
721014;0022;50
721015;0021;70
721015;0022;55
722000;0021;60
722000;0022;60
722005;0021;0
722005;0022;0
722006;0021;0
722006;0022;0
722010;0021;80
722010;0022;50
726003;0021;0
726003;0022;40
726004;0021;70
726004;0022;0
730010;0021;100
730010;0022;100
731020;0021;100
731020;0022;80
736315;0022;90
736323;0022;120
736334;0022;90
761016;0022;120
762013;0021;85
762013;0022;60
820801;0021;0
820801;0022;0
820802;0021;60
820802;0022;0
820803;0021;0
820803;0022;60
820804;0021;60
820804;0022;0
820805;0021;120
820805;0022;0
820807;0021;60
820807;0022;120
822801;0021;0
822801;0022;60
822802;0021;120
822802;0022;0
822803;0021;0
822803;0022;120
822804;0021;60
822804;0022;0
826801;0021;120
826801;0022;120
GO 223;0022;90
GO2010;0022;160
GO2020;0022;150
GO2030;0021;120
GO2030;0022;0
GO2090;0021;150
GO2200;0022;140
GO2210;0022;90
GO2220;0022;50
GO2230;0022;90
GO2250;0021;100
GO2250;0022;0
GP1200;0022;40
GP1240;0022;40
GP1260;0022;40
GP1280;0022;40
GP1320;0022;40
GP1360;0022;40
GP1361;0022;0
GP1400;0022;40
GP1401;0022;0
GP1440;0022;90
GP2240;0022;40
GP2280;0022;40
GP2320;0022;90
GP5240;0022;90
GP5280;0022;40
GP5440;0022;40
GP8240;0022;40
GP8280;0022;90
GP8320;0022;40
GP8360;0022;40
GP8400;0022;40
GP8440;0022;40
GP8480;0022;40
GP8520;0022;40
GP9240;0022;40
GP9280;0022;90
GP9400;0022;40
GP9440;0022;40
GP9480;0022;40
HO1200;0021;60
HO1200;0022;0
HO1201;0021;0
HO1201;0022;60
HO1220;0021;0
HO1220;0022;0
HO1221;0021;60
HO1221;0022;0
HO1720;0020;0
HO1720;0021;0
HO1720;0022;0
HO1721;0020;70
HO1721;0021;0
HO1721;0022;70
HO1820;0021;0
HO1820;0022;0
HO1821;0021;80
HO1821;0022;0
HO3020;0021;80
HO3020;0022;0
HO8020;0020;0
HO8020;0021;0
HO8020;0022;0
HO8021;0020;0
HO8021;0021;0
HO8021;0022;0
HO8030;0021;0
HO8030;0022;90
HO8300;0021;90
HO8300;0022;60
HO8310;0020;0
HO8310;0021;70
HO8310;0022;0
HO8320;0020;0
HO8320;0021;0
HO8320;0022;0
HO8510;0021;100
HO8510;0022;100
HO8515;0021;110
HO8515;0022;60
HO8520;0020;0
HO8520;0021;0
HO8520;0022;0
HO8521;0020;0
HO8521;0021;0
HO8521;0022;70
HO8530;0020;110
HO8530;0021;60
HO8530;0022;60
HO8540;0021;90
HO8540;0022;55
HO8570;0021;100
HO8570;0022;120
HO8580;0022;100
HO8590;0021;20
HO8800;0021;0
HO8800;0022;60
HO9020;0020;0
HO9020;0021;0
HO9020;0022;0
HO9021;0020;0
HO9021;0021;0
HO9021;0022;70
HO9030;0021;70
HO9030;0022;0
HO9050;0021;120
HO9050;0022;50
HO9100;0021;70
HO9100;0022;0
HO9110;0021;70
HO9110;0022;110
HO9120;0021;70
HO9120;0022;70
HO9310;0020;0
HO9310;0021;0
HO9310;0022;0
HO9320;0020;70
HO9320;0021;0
HO9320;0022;70
HO9330;0021;90
HO9330;0022;70
HO9340;0021;90
HO9340;0022;70
HO9800;0021;80
